Class (FINAL),Morph Class,Simplified Terrain,DEM,"Diameter, crater (m)",depth (m),depth/ Diameter,Avg Wall Slope (ø),rim h (avg),rim/D
AB,NORMAL,mare,Hortensius5,72,7.3,0.1,11.5,NaN,NaN
AB,NORMAL,mare,Hortensius5,39,3.2,0.08,10.3,NaN,NaN
AB,MOUND,mare,Hortensius5,64,6.5,0.1,12.3,NaN,NaN
AB,NORMAL,mare,Hortensius5,72,8.7,0.12,14.2,NaN,NaN
AB,NORMAL,mare,Hortensius5,47,5.8,0.12,13.8,NaN,NaN
AB,FLAT,mare,Hortensius5,260,37,0.14,18,7,0.03
AB,NORMAL,mix,Hortensius7,205,36,0.18,21.7,7,0.03
AB,POND,highlands,ImpactMelt1,7337,1353,0.18,31.75,NaN,NaN
AB,NORMAL,mix,InaCaldera1,59,6.6,0.11,13.5,NaN,NaN
AB,NORMAL,mare,JeansU,103,17.4,0.17,19.1,NaN,NaN
AB,FLAT,mare,Jenner,76,7.5,0.1,11.3,NaN,NaN
AB,POND,mare,LaPlaceA,8310,1792,0.22,26.4,397,0.05
AB,FLAT,silicic,Lassell,298,40.7,0.14,15.4,NaN,NaN
AB,NORMAL,silicic,Lassell,195,21.8,0.11,12.8,NaN,NaN
AB,NORMAL,mare,Luna24,104,14.3,0.14,16,NaN,NaN
AB,NORMAL,mare,Luna24,92,10.5,0.11,13.5,NaN,NaN
AB,NORMAL,mare,Luna24,139,14.8,0.11,12.6,NaN,NaN
AB,FLAT,mare,Luna24,77,9.8,0.13,14.4,NaN,NaN
AB,NORMAL,mare,Luna24,47,5.8,0.12,14,NaN,NaN
AB,FLAT,mare,Luna24,65,8,0.12,14.4,NaN,NaN
AB,FLAT,mare,Luna24,76,9,0.12,13.5,NaN,NaN
AB,NORMAL,mare,Luna24,54,7.4,0.14,15.5,NaN,NaN
AB,NORMAL,mare,Luna24,87,11.3,0.13,15.2,NaN,NaN
AB,NORMAL,mare,Luna24,107,13.9,0.13,14.9,NaN,NaN
AB,NORMAL,mare,Luna24,53,5.1,0.1,11.2,NaN,NaN
AB,FLAT,mare,Luna24,56,6.6,0.12,13.8,NaN,NaN
AB,NORMAL,mare,Luna24,62,6.4,0.1,12.2,NaN,NaN
AB,FLAT,mare,Luna24,104,13.1,0.13,14.2,NaN,NaN
AB,NORMAL,mare,Luna24,55,4.3,0.08,8.9,NaN,NaN
AB,NORMAL,mare,Luna24,64,6.9,0.11,12.2,NaN,NaN
AB,FLAT,mare,Luna24,104,13.1,0.13,14.4,NaN,NaN
AB,NORMAL,mare,Luna24,72,9.4,0.13,16.6,NaN,NaN
AB,NORMAL,mare,Luna24,65,8.2,0.13,14.7,NaN,NaN
AB,FLAT,mare,Luna24,92,11.8,0.13,14.6,NaN,NaN
AB,NORMAL,mare,Luna24,44,4.1,0.09,11.2,NaN,NaN
AB,FLAT,mare,Luna24,45,4.7,0.1,12.1,NaN,NaN
AB,NORMAL,mare,Luna24,46,5.7,0.12,14.2,NaN,NaN
AB,FLAT,mare,Luna24,84,9.3,0.11,12.7,NaN,NaN
AB,NORMAL,mare,Marius1,150,16.6,0.11,12.5,NaN,NaN
AB,NORMAL,mare,Marius2,83,10.8,0.13,14.6,NaN,NaN
AB,NORMAL,mare,Marius2,94,11.8,0.13,14.3,NaN,NaN
AB,NORMAL,mare,Marius2,42,3.6,0.09,9.8,NaN,NaN
AB,NORMAL,mare,Marius2,51,5.8,0.11,13,NaN,NaN
AB,NORMAL,mare,Marius2,61,5.6,0.09,12.4,NaN,NaN
AB,NORMAL,mare,Marius2,47,5.1,0.11,12.3,NaN,NaN
AB,NORMAL,mare,Marius2,69,8.3,0.12,13.9,NaN,NaN
AB,NORMAL,mare,Marius3,61,6.5,0.11,12.1,NaN,NaN
AB,NORMAL,mare,Marius3,53,7.6,0.14,16.1,NaN,NaN
AB,MOUND,mare,Marius3,41,4.2,0.1,12.4,NaN,NaN
AB,NORMAL,mare,Marius3,48,5.5,0.11,13.1,NaN,NaN
AB,NORMAL,mare,Marius3,46,4.9,0.11,12.3,NaN,NaN
AB,NORMAL,mare,Marius3,45,4.5,0.1,12,NaN,NaN
AB,NORMAL,mare,Marius4,42,4.5,0.11,12.4,NaN,NaN
AB,NORMAL,mare,Marius4,137,24.5,0.18,19.7,NaN,NaN
AB,NORMAL,mare,MaskelyneF,145,20.9,0.14,16.2,NaN,NaN
AB,NORMAL,highlands,NewCrater2,542,107,0.2,22.4,NaN,NaN
AB,NORMAL,SP,Orientale1,40,5.1,0.13,14.7,NaN,NaN
AB,NORMAL,SP,Orientale1,125,20.8,0.17,18.5,NaN,NaN
AB,NORMAL,highlands,Orientale1,51,8.5,0.17,18.8,NaN,NaN
AB,NORMAL,SP,Orientale1,44,7.3,0.17,18.6,NaN,NaN
AB,NORMAL,SP,Orientale1,78,14.5,0.19,20.4,NaN,NaN
AB,FLAT,SP,Orientale1,191,35,0.18,19.2,9,0.05
AB,NORMAL,SP,Orientale3,442,75,0.17,20.5,12,0.03
AB,NORMAL,highlands,OrientaleVentmosaic,367,62,0.17,19.5,12,0.03
AB,NORMAL,highlands,OrientaleVent,467,76,0.16,19.5,24,0.05
AB,NORMAL,mare,Ranger,45,5.3,0.12,13.9,NaN,NaN
AB,MOUND,mare,Ranger,58,7.5,0.13,14.6,NaN,NaN
AB,NORMAL,mare,Ranger,69,9.4,0.14,15.5,NaN,NaN
AB,NORMAL,mare,Ranger,45,4.9,0.11,12.5,NaN,NaN
AB,MOUND,mare,Ranger,61,7.9,0.13,14.8,NaN,NaN
AB,NORMAL,mare,Ranger,52,5.9,0.11,13,NaN,NaN
AB,MOUND,mare,Ranger,39,4.3,0.11,13,NaN,NaN
AB,NORMAL,mare,Ranger,58,8.2,0.14,15.8,NaN,NaN
AB,NORMAL,mare,Ranger,48,6.3,0.13,14.9,NaN,NaN
AB,NORMAL,mare,Ranger,43,5.6,0.13,15.7,NaN,NaN
AB,NORMAL,mare,Ranger,41,3.3,0.08,11,NaN,NaN
AB,NORMAL,mare,Ranger,45,6.8,0.15,16.9,NaN,NaN
AB,NORMAL,mare,Ranger,61,7.4,0.12,13.9,NaN,NaN
AB,MOUND,mare,Ranger,59,8.9,0.15,18.1,NaN,NaN
AB,MOUND,mare,Ranger,54,6.6,0.12,13.9,NaN,NaN
AB,NORMAL,mare,Ranger,41,3.7,0.09,10.3,NaN,NaN
AB,NORMAL,mare,Ranger,105,16.3,0.16,17.6,NaN,NaN
AB,NORMAL,mare,Ranger,53,6.1,0.11,12.9,NaN,NaN
AB,NORMAL,mare,Reiner2,103,15.2,0.15,16.7,NaN,NaN
AB,NORMAL,mare,Reiner2,77,11.1,0.14,16.4,NaN,NaN
AB,NORMAL,mare,Reiner2,144,20.8,0.14,16.4,NaN,NaN
AB,NORMAL,mare,Reiner2,54,6,0.11,12.6,NaN,NaN
AB,NORMAL,mare,Reiner2,52,7.4,0.14,15.9,NaN,NaN
AB,NORMAL,mare,Reiner2,52,6.8,0.13,14.8,NaN,NaN
AB,NORMAL,mare,Reiner2,58,5.5,0.09,10.8,NaN,NaN
AB,FLAT,mare,Reiner2,70,7.5,0.11,12.1,NaN,NaN
AB,NORMAL,mare,Reiner2,176,29.5,0.17,19.3,NaN,NaN
AB,NORMAL,mare,Reiner2,48,5.9,0.12,14.1,NaN,NaN
AB,NORMAL,mare,Reiner2,113,14.7,0.13,14.8,NaN,NaN
AB,NORMAL,mare,Reiner2,40,3.6,0.09,11.3,NaN,NaN
AB,NORMAL,mare,Reiner2,41,3.7,0.09,11,NaN,NaN
AB,NORMAL,mare,Reiner2,66,7.1,0.11,12.3,NaN,NaN
AB,FLAT,mare,Reiner2,126,14.2,0.11,12.7,NaN,NaN
AB,MOUND,mare,Reiner2,45,3.8,0.08,10.1,NaN,NaN
AB,FLAT,mare,Reiner2,40,3.2,0.08,9.1,NaN,NaN
AB,NORMAL,mare,Reiner3,41,3.2,0.08,8.9,NaN,NaN
AB,FLAT,mare,Reiner3,43,3.9,0.09,10.2,NaN,NaN
AB,NORMAL,mare,Reiner3,46,3.4,0.07,8.9,NaN,NaN
